"gene","filtered_output2_260_WT_1_B2","filtered_output2_985_SOCS3_1_B2","filtered_output2_Tube1_SOCS3_2_B1","filtered_output2_Tube2_SOCS3_3_B1","filtered_output2_Tube3_WT_2_B1","filtered_output2_Tube4_WT_3_B1"
"ENSMUSG00000002459",791,835,930,970,802,780
"ENSMUSG00000002475",51,89,67,93,94,63
"ENSMUSG00000002477",1113,1358,1593,1211,1108,1296
"ENSMUSG00000002486",4,4,2,2,2,0
"ENSMUSG00000002489",3,63,5,44,7,8
"ENSMUSG00000002496",108,163,72,63,72,64
"ENSMUSG00000002500",74,47,35,42,44,14
"ENSMUSG00000002504",339,418,289,267,231,334
"ENSMUSG00000002524",242,252,203,169,189,205
"ENSMUSG00000002546",1665,1881,1590,1505,1348,1744
"ENSMUSG00000002550",0,0,0,0,0,5
"ENSMUSG00000002565",154,189,131,225,224,86
"ENSMUSG00000002578",3155,3186,3340,2620,2570,2817
"ENSMUSG00000002580",0,0,0,0,0,0
"ENSMUSG00000002588",1,5,0,6,0,0
"ENSMUSG00000002602",3169,3509,3699,2287,2324,3533
"ENSMUSG00000002603",566,704,657,562,525,514
"ENSMUSG00000002608",27,54,18,28,27,8
"ENSMUSG00000002617",0,0,0,2,0,0
"ENSMUSG00000002625",321,307,229,194,147,118
"ENSMUSG00000002633",0,0,0,0,0,0
"ENSMUSG00000002635",5,14,19,12,2,8
"ENSMUSG00000002658",748,1019,509,448,462,361
"ENSMUSG00000002660",1398,1398,1402,1044,993,1172
"ENSMUSG00000002661",800,839,969,875,731,793
"ENSMUSG00000002664",74,76,15,28,26,16
"ENSMUSG00000002668",251,242,23,108,105,45
"ENSMUSG00000002679",0,0,0,0,0,0
"ENSMUSG00000002688",38,69,13,34,40,31
"ENSMUSG00000002699",31,49,16,29,11,41
"ENSMUSG00000002718",9,1,7,5,4,3
"ENSMUSG00000002728",96,243,11,51,39,66
"ENSMUSG00000002731",28,17,4,16,13,9
"ENSMUSG00000002732",8,12,0,1,0,0
"ENSMUSG00000002733",18,19,0,2,5,10
"ENSMUSG00000002741",0,0,0,0,0,0
"ENSMUSG00000002748",3200,3178,3702,2857,2690,3015
"ENSMUSG00000002763",0,0,0,1,0,0
"ENSMUSG00000002767",485,419,415,364,361,314
"ENSMUSG00000002768",351,362,327,254,256,299
"ENSMUSG00000002769",0,0,0,0,4,0
"ENSMUSG00000002771",279,281,316,265,218,208
"ENSMUSG00000002778",2905,2914,7157,5077,4833,5578
"ENSMUSG00000002781",78,103,89,118,82,81
"ENSMUSG00000002797",505,493,218,306,260,159
"ENSMUSG00000002799",65,66,34,61,25,20
"ENSMUSG00000002803",62,64,69,41,31,56
"ENSMUSG00000002804",19,6,16,13,11,7
"ENSMUSG00000002808",360,564,141,246,118,137
"ENSMUSG00000002812",0,0,0,0,0,0
"ENSMUSG00000002814",4,5,2,10,3,1
"ENSMUSG00000002820",89,96,56,64,36,57
"ENSMUSG00000002825",147,85,28,65,71,21
"ENSMUSG00000002831",1417,1984,2633,2420,2322,2545
"ENSMUSG00000002833",595,565,422,594,429,442
"ENSMUSG00000002835",210,218,54,150,108,75
"ENSMUSG00000002844",0,0,0,1,0,0
"ENSMUSG00000002845",155,251,129,134,261,165
"ENSMUSG00000002846",3,0,0,0,1,3
"ENSMUSG00000002847",347,448,105,154,187,111
"ENSMUSG00000002870",23,40,27,23,14,43
"ENSMUSG00000002871",2523,2424,4328,2520,2427,3504
"ENSMUSG00000002881",235,316,183,154,218,169
"ENSMUSG00000002885",14,27,2,3,7,0
"ENSMUSG00000002897",1078,1260,1246,1014,1021,913
"ENSMUSG00000002900",843,881,1046,1046,934,995
"ENSMUSG00000002908",666,683,284,437,327,316
"ENSMUSG00000002910",480,501,340,353,264,323
"ENSMUSG00000002930",0,0,0,0,0,0
"ENSMUSG00000002944",98,35,40,17,46,71
"ENSMUSG00000002948",461,446,357,386,492,433
"ENSMUSG00000002949",570,692,340,280,235,201
"ENSMUSG00000002957",203,157,196,146,87,181
"ENSMUSG00000002963",56,104,26,18,34,51
"ENSMUSG00000002968",5786,5642,5427,3093,4838,6512
"ENSMUSG00000002980",47,42,26,25,13,44
"ENSMUSG00000002981",208,188,235,257,229,172
"ENSMUSG00000002983",320,348,436,333,334,330
